potential,"potenziell,  möglich",The evidence suggested he was a potential suspect.,,,pəˈtenʃ(ə)l
opening,hier: Anfang,She has a brief appearance at the opening of the film.,,,ˈəʊp(ə)nɪŋ
influential,einflussreich,As she is an influential member of the government, many people listen to what she says.,,ˌɪnfluˈenʃ(ə)l
ideological,ideologisch,People with ideological differences often argue about what is right or wrong.,,,ˌaɪdiəˈlɒdʒɪk(ə)l
to refer to,hier: bezeichnen als,Even when he was a boy, he referred to his father as Colin.,,rɪˈfɜː tu
category,Kategorie,At the annual Academy Awards, there are winners in different categories.,,ˈkætəɡ(ə)ri
politically,politisch,He is a member of a politically active student group.,,,pəˈlɪtɪkli
to regard as,betrachten als, halten für,Sigmund Freud is often regarded as the Father of Psychology.,,rɪˈɡɑː(r)d əz
superpower,Supermacht,Currently only America has the status of a superpower, but China is likely to gain that status soon.,,ˈsuːpəˌpaʊə
to boast,sich rühmen,The region boasts a high number of tourists.,,,bəʊst
military,Militär,He joined the military as a young man and pursued a career in the army.,,,ˈmɪlɪt(ə)ri
to exercise,ausüben,The church exercised authority over people’s lives for centuries.,,,ˈeksə(r)saɪz
to transcend,überwinden, überschreiten,The book suggested that love can transcend any cultural differences.,,trænˈsend
colony,Kolonie,English is still spoken in many countries which were formerly British colonies.,,,ˈkɒləni
statesman,Staatsmann,The museum invited a well-respected statesman to cut the ribbon at the ceremony.,,,ˈsteɪtsmən
declaration,Erklärung,The woman signed a written declaration that she would not reveal state secrets.,,,ˌdekləˈreɪʃ(ə)n
to announce,bekanntgeben, verkünden,The press release announced the minister’s resignation.,,əˈnaʊns
no longer,nicht mehr,He no longer works in the bank, as he was fired last year.,,nəʊ ˈlɒŋɡə
constitution,Verfassung,The amendment to the constitution extended voting rights to all women.,,,ˌkɒnstɪˈtjuːʃ(ə)n
decade,Jahrzehnt,The social media phenomenon has exploded in the past decade.,,,ˈdekeɪd
to exceed,übersteigen,If car drivers exceed the speed limit and are caught, they have to pay a fine.,,ɪkˈsiːd
to span,umfassen,The actor’s career spanned half a century.,,,spæn
successive,aufeinanderfolgend,The team celebrated their fifth successive win.,,,səkˈsesɪv
to leave one’s mark,seine Spuren hinterlassen,After 8 years in office, the President had left his mark on America.,,ˌliːv wʌnz ˈmɑː(r)k
newcomer,Neu(ankömm)ling,As a newcomer to the community, he hardly knew anybody.,,ˈnjuːˌkʌmə
migrant,Migrant/in,Her family were migrants from Italy, who had moved to London in the 1970s.,,ˈmaɪɡrənt
homeland,Heimat,Tonight he was flying back to his homeland, Ireland.,,ˈhəʊmˌlænd
influx,Zustrom,The huge influx of tourists made the area wealthy.,,,ˈɪnflʌks
to seek,suchen, anstreben,If the symptoms last for more than a week, you should seek medical advice.,siːk
sector,Bereich, Sektor,The country’s industrial sector is growing.,,ˈsektə
vast,riesig,The vast majority of people support the president, so he will probably be re-elected.,,vɑːst
perception,Wahrnehmung,The public’s perception of her changed after the event.,,,pə(r)ˈsepʃ(ə)n
