Ungültiges Sprachkürzel oder Sprache,deutsch,Antwort
prosperity,Wohlstand,affluence
to relate to,zu tun haben mit,?
integral,wesentlich,?
to linger,anhalten,?
to regard as,betrachten als,to refer to
to exceed,übersteigen,?
historical,geschichtlich,historically
regardless of,trotz,nonetheles
------,------,------
to relate to,zu tun haben mit,?
integral,wesentlich,
------,------,------
to relate to,zu tun haben mit,2
------,------,------
to relate to,zu tun haben mit,2
------,------,------
------,------,------
