English, Deutsch
potential,"potenziell/möglich"
opening,hier: Anfang
influential,einflussreich
ideological,ideologisch
to refer to,hier: bezeichnen als
category,Kategorie
politically,politisch
to regard as,betrachten als
superpower,Supermacht
to boast,sich rühmen
military,Militär
to exercise,ausüben
to transcend,überwinden
colony,Kolonie
statesman,Staatsmann
declaration,Erklärung
to announce,bekanntgeben
no longer,nicht mehr
constitution,Verfassung
decade,Jahrzehnt
to exceed,übersteigen
to span,umfassen
successive,aufeinanderfolgend
to leave one’s mark,seine Spuren hinterlassen
newcomer,Neu(ankömm)ling
migrant,Migrant/in
homeland,Heimat
influx,Zustrom
to seek,suchen
sector,Bereich
vast,riesig
perception,Wahrnehmung
over time,im Laufe der Zeit
regardless of,trotz
prosperity,Wohlstand
historical,geschichtlich
contemporary,zeitgenössisch
hardworking,fleißig
benefit,Vorteil
effort,Mühe
ownership,Besitz
stability,Stabilität
upward,nach oben
mobility,Beweglichkeit
magnanimous,großmütig
troubled,bewegt
slavery,Sklaverei
inequality,Ungleichheit
claim,Behauptung
contradictory,widersprüchlich
lifestyle,Lebensstil
slaveholder,Sklavenhalter/in
marked,deutlich
polarization,Polarisierung
predominantly,überwiegend
to advocate,unterstützen
abolition,Abschaffung
course,Verlauf
to abolish,abschaffen
constitutional,verfassungsmäßig
amendment,Änderung
sentiment,Ansicht
to linger,anhalten
to resurface,wieder auftauchen
antagonistic,antagonistisch
to pass (a law),ein Gesetz verabschieden
widespread,weit verbreitet
division,Teilung
clash,Zusammenstoß
controversy,Kontroverse
ideally,idealerweise
to relate to,zu tun haben mit
affluence,Wohlstand
opposed,entgegengesetzt
hostile,feindselig
technically,technisch
composition,hier: Zusammenstellung
to underline,unterstreichen
prominence,Bedeutung
nonetheless,trotzdem
integral,wesentlich
